Clinic ID,Tablet Name,Year,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51,Week 52
clinic_001,Paracetamol,2019,510,311,500,450,379,601,211,200,111,451,555,589,109,105,169,109,169,201,222,123,189,169,111,119,130,199,450,498,578,654,650,657,678,578,684,542,109,152,123,169,100,210,169,566,458,511,543,644,211,169,111,102
clinic_001,Paracetamol,2020,368,344,453,542,650,420,258,158,124,475,544,600,199,258,158,99,100,124,100,158,125,158,124,99,111,158,555,589,633,599,700,758,694,566,711,456,99,106,108,158,124,111,289,367,544,456,536,547,258,158,124,111
clinic_001,Paracetamol,2021,485,566,444,600,399,410,210,366,163,574,610,511,211,111,99,211,222,163,156,88,140,122,163,102,152,101,412,487,477,635,759,698,654,645,641,674,211,196,147,79,163,210,222,498,641,588,633,499,211,222,163,125
clinic_001,Paracetamol,2022,350,498,560,598,541,541,233,244,174,541,551,532,155,233,119,155,200,110,106,111,101,99,110,155,145,119,354,578,487,675,681,573,548,489,589,599,155,201,151,119,110,128,200,433,578,533,422,488,233,244,110,99
clinic_001,Paracetamol,2023,620,444,333,521,514,543,288,155,253,532,654,600,203,203,155,203,111,120,145,155,203,155,136,195,133,200,366,655,569,598,643,641,714,583,654,555,203,164,104,155,253,198,111,532,500,579,588,436,203,155,253,169
clinic_001,Paracetamol,2024,598,354,398,454,365,300,100,166,200,566,560,541,100,165,166,100,166,200,89,166,100,166,89,200,198,166,556,488,679,582,699,666,725,724,765,547,100,144,100,166,200,170,166,455,498,598,600,666,100,166,200,143
clinic_001,Ibuprofen,2019,530,456,657,590,256,105,169,119,169,654,549,678,221,222,152,123,169,100,210,169,136,201,222,689,562,689,123,169,200,210,169,568,647,698,654,209,105,169,109,169,250,245,222,102,654,566,586,657,211,109,111,135
clinic_001,Ibuprofen,2020,541,600,542,485,169,258,158,199,200,564,633,548,256,148,225,208,158,224,111,289,100,124,100,633,548,687,308,158,124,222,289,662,563,568,598,199,258,158,199,200,124,158,124,111,568,564,568,556,258,158,124,245
clinic_001,Ibuprofen,2021,610,586,569,690,211,156,177,311,222,589,654,624,265,124,196,147,99,163,210,222,222,136,156,654,624,500,147,179,163,210,222,548,668,621,503,344,233,299,211,222,163,145,163,125,688,658,621,547,210,366,163,106
clinic_001,Ibuprofen,2022,666,498,436,500,155,233,219,155,300,600,632,569,248,158,201,151,119,220,128,200,199,110,106,632,569,603,151,229,119,128,250,520,555,598,638,155,233,119,155,204,220,268,110,99,698,666,598,639,233,244,174,133
